Strategy,Category,Moneyness,Expiry,Total_Costs_EUR,Final_PnL_EUR,PnL_Volatility,Num_Trades,Trade_Freq_Pct,Delta_Tracking_Error,Ticks
Whalley,Breve_Termine,OTM,2025-01-17,18.984528477900707,-18.31509523620553,0.17111324436401373,916,3.889266304347826,0.01307372243676866,23552
Custom_Adaptive,Breve_Termine,OTM,2025-01-31,17.166678615101752,-0.11923228876139547,0.31427203369876155,20,0.1953125,0.03703528546414013,10240
Whalley,Breve_Termine,OTM,2025-01-31,16.62697554995117,0.026994217898163697,0.28024755033611853,500,4.8828125,0.020318180791950004,10240
Custom_Adaptive,Lungo_Termine,ATM,2025-05-16,41.31158848645538,-65.38008932106277,0.3969610277908195,117,0.18137004138957355,0.022353942415741675,64509
Whalley,Lungo_Termine,ATM,2025-05-16,60.30158511934789,-166.3956876249872,0.36905168082883355,3157,4.89389077493063,0.009761504938814865,64509
Custom_Adaptive,Lungo_Termine,ATM,2025-05-30,11.962161823031648,-13.608351900165417,0.35369661577102796,16,0.1837813002526993,0.006320216361518551,8706
Whalley,Lungo_Termine,ATM,2025-05-30,12.344672851231621,-18.612219563700364,0.36105877699132105,387,4.445210199862164,0.0073165956110425034,8706
Custom_Adaptive,Lungo_Termine,ATM,2025-06-20,41.11484632359161,-65.39315820126512,0.4033619259561124,134,0.1792666122623714,0.018718414342032905,74749
Whalley,Lungo_Termine,ATM,2025-06-20,55.40697954596097,-152.60756962676487,0.3862506629863296,3587,4.798726404366613,0.009036270309632898,74749
Custom_Adaptive,Lungo_Termine,ATM,2025-06-30,15.703968936085797,18.62733684314395,0.30295239353959164,26,0.16927083333333334,0.005316961184127938,15360
Whalley,Lungo_Termine,ATM,2025-06-30,15.593989200888013,13.68296479460065,0.29611312483509733,546,3.5546875,0.006538939996198168,15360
Custom_Adaptive,Lungo_Termine,ATM,2025-07-18,44.39598833672767,-75.70177923130359,0.46936879104986434,157,0.18038305548215128,0.01596553841414201,87037
Whalley,Lungo_Termine,ATM,2025-07-18,54.43563459332057,-144.15063764409342,0.4493056640051792,3651,4.194767742454358,0.008517304935516513,87037
Custom_Adaptive,Lungo_Termine,ATM,2025-07-31,19.360918467920918,25.01598858573874,0.28946316666089683,50,0.1713267543859649,0.006141338263955236,29184
Whalley,Lungo_Termine,ATM,2025-07-31,18.30937012604706,17.54169550016917,0.284054543711021,902,3.090734649122807,0.007306315320107978,29184
Custom_Adaptive,Lungo_Termine,ATM,2025-08-15,44.85861465603942,-75.04640940738949,0.4499476214858149,165,0.17903840102431667,0.014935279062328836,92159
Whalley,Lungo_Termine,ATM,2025-08-15,53.643069961816266,-141.96585490648562,0.4293012763116282,3691,4.005034776853048,0.008185344756714171,92159
Custom_Adaptive,Lungo_Termine,ATM,2025-08-29,20.296515466547156,9.123827044433256,0.36363499542714667,52,0.17212843429328037,0.00722903329405554,30210
Whalley,Lungo_Termine,ATM,2025-08-29,18.826768165197624,10.760555582365214,0.3611583717723638,1103,3.6511089043363123,0.00738923689177748,30210
Custom_Adaptive,Lungo_Termine,ATM,2025-09-19,47.78019205776036,-81.24880254595064,0.42016593725188073,187,0.16754020516955606,0.013327989147379135,111615
Whalley,Lungo_Termine,ATM,2025-09-19,53.7454770559476,-136.9533175658471,0.4086350579152748,4361,3.9071809344622137,0.008011536015059785,111615
Custom_Adaptive,Lungo_Termine,ATM,2025-09-30,18.19059202993305,-1.468688367903269,0.15580218724353154,52,0.1664852404431069,0.007161171593912911,31234
Whalley,Lungo_Termine,ATM,2025-09-30,16.285219944873596,1.8408677517918477,0.15233329089107928,1304,4.174937568034834,0.007358919238230924,31234
Custom_Adaptive,Lungo_Termine,ATM,2025-10-17,45.81898089875416,-86.05444550980968,0.39722760582577205,187,0.16677219987692746,0.01215894603477484,112129
Whalley,Lungo_Termine,ATM,2025-10-17,46.549986394085686,-111.42355941553245,0.3866971195017537,4074,3.6333151994577673,0.007620623550679411,112129
Custom_Adaptive,Lungo_Termine,ITM,2025-05-16,35.05079038941767,-38.255609247763914,0.38793854717725607,119,0.18447038397742951,0.018697368130247916,64509
Whalley,Lungo_Termine,ITM,2025-05-16,47.40148954063489,-118.7588544427872,0.358692225374156,2951,4.574555488381466,0.007805580332594753,64509
Custom_Adaptive,Lungo_Termine,ITM,2025-05-30,10.888583166550328,0.47099622715541045,0.08154066491257979,18,0.20675396278428668,0.0031703851158139057,8706
Whalley,Lungo_Termine,ITM,2025-05-30,11.007071263351206,-2.6383775992844676,0.07925525733991218,418,4.801286469101769,0.004935807656599084,8706
Custom_Adaptive,Lungo_Termine,ITM,2025-06-20,35.172142781499666,-47.58746861681408,0.38856611917553713,134,0.1792666122623714,0.015992850776822623,74749
Whalley,Lungo_Termine,ITM,2025-06-20,45.48749051942076,-121.33394343192828,0.36248444265640506,3765,5.0368566803569275,0.0074724812803896035,74749
Custom_Adaptive,Lungo_Termine,ITM,2025-06-30,14.035043255238218,5.7294723653863,0.21753964829929373,24,0.15625,0.0029622710635875764,15360
Whalley,Lungo_Termine,ITM,2025-06-30,13.658679961219722,2.763014523404763,0.20967687437863042,618,4.0234375,0.004784594671659181,15360
Custom_Adaptive,Lungo_Termine,ITM,2025-07-18,36.698003002974716,-69.1372725835854,0.4859841148657724,151,0.17348943552741938,0.01370173456340683,87037
